Date,Open,High,Low,Close
2016/8/8,101.93,102.653,101.893,102.417
2016/8/9,102.413,102.529,101.792,101.855
2016/8/10,101.855,101.957,100.969,101.184
2016/8/11,101.184,102.055,101.027,101.929
2016/8/12,101.929,102.274,100.851,101.275
2016/8/15,101.242,101.453,100.872,101.27
2016/8/16,101.272,101.289,99.545,100.271
2016/8/17,100.273,101.166,100.053,100.227
2016/8/18,100.225,100.481,99.648,99.939
2016/8/19,99.939,100.456,99.908,100.143
2016/8/22,100.664,100.931,100.225,100.329
2016/8/23,100.32,100.392,99.948,100.194
2016/8/24,100.194,100.611,100.103,100.465
2016/8/25,100.463,100.618,100.306,100.54
2016/8/26,100.541,101.943,100.077,101.843
2016/8/29,101.936,102.391,101.84,101.895
2016/8/30,101.895,103.136,101.756,102.977
2016/8/31,102.977,103.529,102.865,103.36
2016/9/1,103.359,103.999,103.063,103.233
2016/9/2,103.231,104.321,102.821,104.029
2016/9/5,104.062,104.119,103.157,103.431
2016/9/6,103.434,103.806,101.938,102.095
2016/9/7,102.095,102.124,101.207,101.718
2016/9/8,101.72,102.597,101.418,102.392
2016/9/9,102.399,103.054,101.979,102.683
2016/9/12,102.574,102.667,101.577,101.926
2016/9/13,101.934,102.748,101.437,102.547
2016/9/14,102.554,103.349,102.254,102.352
2016/9/15,102.358,102.75,101.942,102.049
2016/9/16,102.049,102.464,101.775,102.32
2016/9/19,102.259,102.419,101.584,101.852
2016/9/20,101.854,102.063,101.546,101.734
2016/9/21,101.738,102.784,100.302,100.435
2016/9/22,100.435,100.931,100.103,100.793
2016/9/23,100.792,101.244,100.679,101.034
2016/9/26,101.02,101.079,100.25,100.309
2016/9/27,100.31,100.989,100.1,100.41
2016/9/28,100.401,100.819,100.266,100.733
2016/9/29,100.73,101.841,100.702,101.099
2016/9/30,101.099,101.768,100.749,101.407
2016/10/3,101.331,101.657,101.214,101.643
2016/10/4,101.636,102.969,101.609,102.897
2016/10/5,102.898,103.668,102.673,103.529
2016/10/6,103.529,104.159,103.35,103.992
2016/10/7,103.988,104.001,102.865,102.914
2016/10/10,103.125,103.785,102.816,103.648
2016/10/11,103.644,104.072,103.189,103.563
2016/10/12,103.561,104.483,103.28,104.233
2016/10/13,104.242,104.633,103.341,103.663
2016/10/14,103.665,104.473,103.612,104.224
2016/10/17,104.346,104.37,103.793,103.895
2016/10/18,103.906,104.199,103.684,103.874
2016/10/19,103.888,103.949,103.176,103.392
2016/10/20,103.392,104.105,103.346,103.971
2016/10/21,103.986,104.203,103.525,103.83
